round,fraction,dice,method
1,0.12,0.664968518110422,entropy
2,0.17,0.7235202468358554,entropy
3,0.22,0.7587069043746362,entropy
4,0.27,0.7305262409723722,entropy
5,0.32,0.7783524990081787,entropy
6,0.37,0.7848931734378521,entropy
7,0.42,0.7891845336327186,entropy
8,0.47,0.8053980423853948,entropy
9,0.52,0.8321671164952792,entropy
10,0.57,0.8232235816808847,entropy
11,0.62,0.8334839664972745,entropy
12,0.67,0.8399074811201829,entropy
13,0.72,0.842522891668173,entropy
14,0.77,0.8492410687299875,entropy
15,0.82,0.8433784567392789,entropy
16,0.87,0.8477752575507531,entropy
17,0.92,0.8540241076396062,entropy
18,0.97,0.8390060158876272,entropy
19,1.0,0.8464898604613084,entropy
