round,fraction,dice,method
1,0.12,0.664968518110422,kl-divergence
2,0.17,0.70920186317884,kl-divergence
3,0.22,0.7304736192409809,kl-divergence
4,0.27,0.7456895479789147,kl-divergence
5,0.32,0.7333471866754385,kl-divergence
6,0.37,0.7362926739912766,kl-divergence
7,0.42,0.7702667804864737,kl-divergence
8,0.47,0.7800851372572092,kl-divergence
9,0.52,0.7897400718468887,kl-divergence
10,0.57,0.754752869789417,kl-divergence
11,0.62,0.8043491977911729,kl-divergence
12,0.67,0.8115693605863131,kl-divergence
13,0.72,0.8111432194709778,kl-divergence
14,0.77,0.8273830643066993,kl-divergence
15,0.82,0.8390065523294302,kl-divergence
16,0.87,0.8459327175067022,kl-divergence
17,0.92,0.8470012499735906,kl-divergence
18,0.97,0.8533228360689603,kl-divergence
19,1.0,0.8497932232343234,kl-divergence
