round,fraction,dice,method
1,0.12,0.664968518110422,random
2,0.17,0.626510895215548,random
3,0.22,0.6648603540200454,random
4,0.27,0.7058196067810059,random
5,0.32,0.7326009227679326,random
6,0.37,0.7758404474992019,random
7,0.42,0.763206463593703,random
8,0.47,0.7727005435870244,random
9,0.52,0.7816769159757174,random
10,0.57,0.7890668969887954,random
11,0.62,0.7927945210383489,random
12,0.67,0.8123836654883164,random
13,0.72,0.7992296585669885,random
14,0.77,0.8167721033096313,random
15,0.82,0.838450184235206,random
16,0.87,0.8415774565476638,random
17,0.92,0.838349081002749,random
18,0.97,0.8519825247617868,random
19,1.0,0.8554361554292532,random
