round,fraction,dice,method
1,0.12,0.3894933324593764,bald
2,0.17,0.7058434944886428,bald
3,0.22,0.6935113485042865,bald
4,0.27,0.7493343215722305,bald
5,0.32,0.7672805190086365,bald
6,0.37,0.7731934739993169,bald
7,0.42,0.7636989034139193,bald
8,0.47,0.788574007841257,bald
9,0.52,0.8014923196572524,bald
10,0.57,0.8165299388078543,bald
11,0.62,0.8076987954286429,bald
12,0.67,0.8040317342831538,bald
13,0.72,0.816724602992718,bald
14,0.77,0.8286658296218286,bald
15,0.82,0.8318921877787664,bald
16,0.87,0.8514917126068702,bald
17,0.92,0.8574293485054603,bald
18,0.97,0.8605017341100253,bald
19,1.0,0.8664783972960252,bald
