round,fraction,dice,method
1,0.12,0.3894933324593764,js-divergence
2,0.17,0.7057820100050706,js-divergence
3,0.22,0.6969866798474238,js-divergence
4,0.27,0.7378576764693627,js-divergence
5,0.32,0.7269431398465083,js-divergence
6,0.37,0.7546298412176279,js-divergence
7,0.42,0.772770093037532,js-divergence
8,0.47,0.7898974051842322,js-divergence
9,0.52,0.7958007821669946,js-divergence
10,0.57,0.8024498270108149,js-divergence
11,0.62,0.8120187337581928,js-divergence
12,0.67,0.8433412451010484,js-divergence
13,0.72,0.844340402346391,js-divergence
14,0.77,0.8504662972230178,js-divergence
15,0.82,0.847529805623568,js-divergence
16,0.87,0.8574191331863403,js-divergence
17,0.92,0.8579124808311462,js-divergence
18,0.97,0.8574519524207482,js-divergence
19,1.0,0.8650747904410729,js-divergence
