round,fraction,dice,method
1,0.12,0.46055192901537967,entropy
2,0.17,0.5624058384161729,entropy
3,0.22,0.6452663861788236,entropy
4,0.27,0.7030789622893701,entropy
5,0.32,0.7003167638411889,entropy
6,0.37,0.7484072630222027,entropy
7,0.42,0.7833841351362375,entropy
8,0.47,0.7822751540404099,entropy
9,0.52,0.7869386489574726,entropy
10,0.57,0.7918363763735845,entropy
11,0.62,0.7911544396327093,entropy
12,0.67,0.8096705491726215,entropy
13,0.72,0.8133538915560796,entropy
14,0.77,0.8199767516209528,entropy
15,0.82,0.8223798412543076,entropy
16,0.87,0.8231678421680744,entropy
17,0.92,0.8378385993150564,entropy
18,0.97,0.8246608055554904,entropy
19,1.0,0.8441575307112473,entropy
