round,fraction,dice,method
1,0.12,0.46055192901537967,random
2,0.17,0.6138801253758944,random
3,0.22,0.6590885336582477,random
4,0.27,0.7024238568085891,random
5,0.32,0.7672072969950162,random
6,0.37,0.7609225511550903,random
7,0.42,0.7820190603916461,random
8,0.47,0.6888662530825689,random
9,0.52,0.7879895476194528,random
10,0.57,0.8017131961308993,random
11,0.62,0.8086504706969628,random
12,0.67,0.7929160273992099,random
13,0.72,0.801407474737901,random
14,0.77,0.8055533308249253,random
15,0.82,0.806310759140895,random
16,0.87,0.8195772583668048,random
17,0.92,0.8277766108512878,random
18,0.97,0.8256183404188889,random
19,1.0,0.8351031908622155,random
