round,fraction,dice,method
1,0.12,0.29985381777469927,kl-divergence
2,0.17,0.3705423336762648,kl-divergence
3,0.22,0.4723563973720257,kl-divergence
4,0.27,0.6471585402121911,kl-divergence
5,0.32,0.6816825362352225,kl-divergence
6,0.37,0.7494582900634179,kl-divergence
7,0.42,0.7559597950715286,kl-divergence
8,0.47,0.7444042517588689,kl-divergence
9,0.52,0.7553781454379742,kl-divergence
10,0.57,0.7831838268500108,kl-divergence
11,0.62,0.7772616881590623,kl-divergence
12,0.67,0.7932693270536569,kl-divergence
13,0.72,0.8049430021872888,kl-divergence
14,0.77,0.8196154099244338,kl-divergence
15,0.82,0.8301863762048575,kl-divergence
16,0.87,0.8422937118090116,kl-divergence
17,0.92,0.8441057892946097,kl-divergence
18,0.97,0.8447919533802912,kl-divergence
19,1.0,0.8481906377352201,kl-divergence
