round,fraction,dice,method
1,0.12,0.664968518110422,bald
2,0.17,0.6611451827562772,bald
3,0.22,0.6559383915020869,bald
4,0.27,0.7009650560525748,bald
5,0.32,0.7414124928987943,bald
6,0.37,0.7621463170418372,bald
7,0.42,0.7861751272128179,bald
8,0.47,0.7913577877558194,bald
9,0.52,0.8123424924336947,bald
10,0.57,0.7976611715096694,bald
11,0.62,0.8154160105265104,bald
12,0.67,0.8280398020377526,bald
13,0.72,0.831537650181697,bald
14,0.77,0.8373596255595868,bald
15,0.82,0.8423117903562692,bald
16,0.87,0.8455024178211505,bald
17,0.92,0.8510494782374456,bald
18,0.97,0.8535242126538203,bald
19,1.0,0.859749972820282,bald
