round,fraction,dice,method
1,0.12,0.664968518110422,js-divergence
2,0.17,0.6846026182174683,js-divergence
3,0.22,0.7004061203736526,js-divergence
4,0.27,0.7304526429909927,js-divergence
5,0.32,0.7686907373941861,js-divergence
6,0.37,0.7824599009293777,js-divergence
7,0.42,0.781170863371629,js-divergence
8,0.47,0.8030349153738755,js-divergence
9,0.52,0.791320956670321,js-divergence
10,0.57,0.802615422468919,js-divergence
11,0.62,0.8192580525691693,js-divergence
12,0.67,0.8105378517737756,js-divergence
13,0.72,0.8198262407229497,js-divergence
14,0.77,0.8272363956157978,js-divergence
15,0.82,0.8392129357044513,js-divergence
16,0.87,0.8449717164039612,js-divergence
17,0.92,0.8496181093729459,js-divergence
18,0.97,0.860408732524285,js-divergence
19,1.0,0.8586070720966046,js-divergence
