round,fraction,deterministic_dice_score,mcmc_dice,mcmc_std,method
1,0.12,0.5062792759675246,0.47804374373876135,0.01593777142311893,kl-divergence
2,0.17,0.5455856116918417,0.5046954017419081,0.008113295484763878,kl-divergence
3,0.22,0.6319920649895301,0.5762807795634637,0.008181837766389912,kl-divergence
4,0.27,0.6772978168267471,0.6185219654670128,0.01179801453220055,kl-divergence
5,0.32,0.7025287197186396,0.6676545308186457,0.005858612399061605,kl-divergence
6,0.37,0.7397467402311472,0.7340470634973967,0.004503531915005595,kl-divergence
7,0.42,0.7259081877194918,0.7478252869385938,0.003882812879807991,kl-divergence
8,0.47,0.7598669070463914,0.7524565843435435,0.006282551204556931,kl-divergence
9,0.52,0.7555120587348938,0.7328639608163099,0.003702567759498707,kl-divergence
10,0.57,0.7599326417996333,0.7393033403616686,0.00481155726755046,kl-divergence
11,0.62,0.7669151104413546,0.7748914645268367,0.006038395852532379,kl-divergence
12,0.67,0.7520618301171523,0.7669404946840725,0.003680739027088624,kl-divergence
13,0.72,0.7619168712542608,0.7767939952703622,0.0030451590948205893,kl-divergence
14,0.77,0.7967660151995145,0.7945779864604656,0.0030488924998753487,kl-divergence
15,0.82,0.7946218206332281,0.7929624337416429,0.0020522354645341745,kl-divergence
16,0.87,0.7863450829799359,0.7978129313542293,0.003382531684448045,kl-divergence
17,0.92,0.8139919317685641,0.8048760780921349,0.003667584811192622,kl-divergence
18,0.97,0.8153667633350079,0.8192053198814392,0.0021679756770773026,kl-divergence
19,1.0,0.8080206788503207,0.8160532538707439,0.002204160615387757,kl-divergence
