round,fraction,deterministic_dice_score,mcmc_dice,mcmc_std,method
1,0.12,0.5062792759675246,0.47804374373876135,0.01593777142311893,random
2,0.17,0.5734641620746026,0.5222144608314221,0.003077881067542357,random
3,0.22,0.6175432342749375,0.5604759069589469,0.007666421392810414,random
4,0.27,0.7135448409960821,0.686464500427246,0.005020997849699242,random
5,0.32,0.7332326494730436,0.721241439305819,0.0055860563637352,random
6,0.37,0.6925674585195688,0.7102479008527902,0.005532868598880419,random
7,0.42,0.7711515197387109,0.7592931096370403,0.005260901205285526,random
8,0.47,0.755288669696221,0.7543887184216425,0.0036602877223819216,random
9,0.52,0.7663743633490342,0.7612448224654564,0.003083104634601772,random
10,0.57,0.7585887175339919,0.7733537554740906,0.0027545174018536547,random
11,0.62,0.7614070910673875,0.7581214372928327,0.003946034705621343,random
12,0.67,0.7733612198096055,0.771129270700308,0.006938538790349605,random
13,0.72,0.7963902262540964,0.790896826524001,0.003904118975948122,random
14,0.77,0.7965887876657339,0.7795307984718909,0.00415138749685586,random
15,0.82,0.7996768263670114,0.8038283806580765,0.0033968699505648584,random
16,0.87,0.8023543128600488,0.7997499144994296,0.0010798222972991597,random
17,0.92,0.8208352510745709,0.8164907758052532,0.0015367809321772965,random
18,0.97,0.8142671264134921,0.8133198719758254,0.00294680033300716,random
19,1.0,0.7936581740012536,0.8017205284192013,0.0029380648766154684,random
