round,fraction,deterministic_dice_score,mcmc_dice,mcmc_std,method
1,0.12,0.6164348927827982,0.5403813903148358,0.008447794535895805,bald
2,0.17,0.6457890547238864,0.6217803597450257,0.0025220932662797127,bald
3,0.22,0.7108531548426702,0.6834761537038363,0.0033577775866884406,bald
4,0.27,0.7065031620172354,0.695432919722337,0.004483860179790963,bald
5,0.32,0.7378448110360366,0.7223675957092872,0.003078669610391644,bald
6,0.37,0.698829866372622,0.7135786093198336,0.00892552818629896,bald
7,0.42,0.7480278611183167,0.7425953232325041,0.0030442131814342396,bald
8,0.47,0.7536515731077927,0.7410714021095862,0.004411325741736274,bald
9,0.52,0.7599742550116318,0.758940145602593,0.0018232966087409358,bald
10,0.57,0.7683691932604864,0.7606132241395803,0.0053738491506335265,bald
11,0.62,0.7519212777797992,0.7275654187569252,0.008555147165283236,bald
12,0.67,0.7658198384138254,0.7392995495062608,0.004156800557165665,bald
13,0.72,0.7633795921619122,0.7576791405677794,0.0036195741226923276,bald
14,0.77,0.7710906358865591,0.7701110482215882,0.0010884458623361755,bald
15,0.82,0.7988059841669523,0.7951649730022137,0.003475715191112329,bald
16,0.87,0.8078985076684219,0.8023712231562689,0.0018439214777489226,bald
17,0.92,0.8055466871995193,0.8037504287866446,0.0026772978146678435,bald
18,0.97,0.8066853147286636,0.8023655139482939,0.005071728530322806,bald
19,1.0,0.8210488878763639,0.8105310577612658,0.0017496856537930808,bald
