round,fraction,deterministic_dice_score,mcmc_dice,mcmc_std,method
1,0.12,0.6164348927827982,0.5403813903148358,0.008447794535895805,entropy
2,0.17,0.6670731122677143,0.6215871691703796,0.004639765799395353,entropy
3,0.22,0.6770110267859238,0.6365021384679354,0.0051672472229615735,entropy
4,0.27,0.6876454032384433,0.6363652531917279,0.009588516943964003,entropy
5,0.32,0.6883109853817866,0.6595415234565736,0.004362983847645585,entropy
6,0.37,0.7403455743422875,0.7178203573593727,0.0060172052839697785,entropy
7,0.42,0.717314192881951,0.7147701263427735,0.0043554631798644146,entropy
8,0.47,0.7345882470791156,0.7369363234593319,0.004436491130832398,entropy
9,0.52,0.7614279893728403,0.7338551704700176,0.004497196888809913,entropy
10,0.57,0.7517581719618577,0.7232570895781885,0.00788113954580121,entropy
11,0.62,0.7504245455448444,0.7327069896918077,0.005163261495309706,entropy
12,0.67,0.7577713452852689,0.7566686758628258,0.005961657771398269,entropy
13,0.72,0.7561283432520353,0.7630237616025484,0.003987706342300119,entropy
14,0.77,0.7796979317298303,0.7694205164909362,0.004578964640870605,entropy
15,0.82,0.7969437700051528,0.7796028357285719,0.0043067952124970065,entropy
16,0.87,0.7968358626732459,0.7910305655919588,0.0033133987967266672,entropy
17,0.92,0.791670941389524,0.7978029819635245,0.002538042065009925,entropy
18,0.97,0.7932272599293635,0.7907664344860958,0.0020714854371300393,entropy
19,1.0,0.8035641220899729,0.7959273439187271,0.0027573461842433714,entropy
