round,fraction,dice_score,method
1,0.12,0.6629602015018463,js-divergence
2,0.13,0.6670312359929085,js-divergence
3,0.14,0.6656841859221458,js-divergence
4,0.15,0.7259675860404968,js-divergence
5,0.16,0.7748799920082092,js-divergence
6,0.17,0.7721302509307861,js-divergence
7,0.18,0.7994336634874344,js-divergence
8,0.19,0.8215575069189072,js-divergence
9,0.2,0.779013991355896,js-divergence
10,0.21,0.8116564601659775,js-divergence
11,0.22,0.8404447287321091,js-divergence
12,0.23,0.8487817645072937,js-divergence
13,0.24,0.8692619204521179,js-divergence
14,0.25,0.8661146461963654,js-divergence
15,0.26,0.8672754913568497,js-divergence
16,0.27,0.8582346439361572,js-divergence
17,0.28,0.8725425750017166,js-divergence
18,0.29,0.8755262792110443,js-divergence
19,0.3,0.8811282366514206,js-divergence
20,0.31,0.8876417726278305,js-divergence
21,0.32,0.889255627989769,js-divergence
22,0.33,0.8909421116113663,js-divergence
23,0.34,0.8940920680761337,js-divergence
24,0.35,0.8992298692464828,js-divergence
25,0.36,0.8989304006099701,js-divergence
26,0.37,0.8928885459899902,js-divergence
27,0.38,0.8970056027173996,js-divergence
28,0.39,0.9039177298545837,js-divergence
29,0.4,0.8892380595207214,js-divergence
30,0.41,0.8952306360006332,js-divergence
31,0.42,0.9003530293703079,js-divergence
32,0.43,0.8803218305110931,js-divergence
33,0.44,0.8947961926460266,js-divergence
34,0.45,0.9054624140262604,js-divergence
35,0.46,0.9091549664735794,js-divergence
36,0.47,0.9041108340024948,js-divergence
37,0.48,0.9082386046648026,js-divergence
38,0.49,0.9120273292064667,js-divergence
39,0.5,0.9030589014291763,js-divergence
40,0.51,0.9047596603631973,js-divergence
41,0.52,0.9100219011306763,js-divergence
42,0.53,0.9075953513383865,js-divergence
43,0.54,0.9080605655908585,js-divergence
44,0.55,0.9172124713659286,js-divergence
45,0.56,0.9108064919710159,js-divergence
46,0.57,0.9103932678699493,js-divergence
47,0.58,0.9137189239263535,js-divergence
48,0.59,0.907868966460228,js-divergence
49,0.6,0.9121266007423401,js-divergence
50,0.61,0.9139697402715683,js-divergence
51,0.62,0.913882315158844,js-divergence
52,0.63,0.9147936403751373,js-divergence
53,0.64,0.9175655692815781,js-divergence
54,0.65,0.9133938997983932,js-divergence
55,0.66,0.9161659628152847,js-divergence
56,0.67,0.9142201542854309,js-divergence
57,0.68,0.9113171994686127,js-divergence
58,0.69,0.9127809107303619,js-divergence
59,0.7,0.9167196303606033,js-divergence
60,0.71,0.9174689650535583,js-divergence
61,0.72,0.9148428738117218,js-divergence
62,0.73,0.9159066081047058,js-divergence
63,0.74,0.9150432348251343,js-divergence
64,0.75,0.9137545824050903,js-divergence
65,0.76,0.919195145368576,js-divergence
66,0.77,0.9204386472702026,js-divergence
67,0.78,0.9218141734600067,js-divergence
68,0.79,0.9186786562204361,js-divergence
69,0.8,0.9221189171075821,js-divergence
70,0.81,0.9243951588869095,js-divergence
71,0.82,0.9207460135221481,js-divergence
72,0.83,0.9170373231172562,js-divergence
73,0.84,0.9230233281850815,js-divergence
74,0.85,0.9209867268800735,js-divergence
75,0.86,0.9203609973192215,js-divergence
76,0.87,0.9174753576517105,js-divergence
77,0.88,0.9164458364248276,js-divergence
78,0.89,0.9206419140100479,js-divergence
79,0.9,0.9200906306505203,js-divergence
80,0.91,0.9199231564998627,js-divergence
81,0.92,0.9199097454547882,js-divergence
82,0.93,0.9184477925300598,js-divergence
83,0.94,0.917522519826889,js-divergence
84,0.95,0.9192827790975571,js-divergence
85,0.96,0.9202896505594254,js-divergence
86,0.97,0.9197610169649124,js-divergence
87,0.98,0.918383777141571,js-divergence
88,0.99,0.9190433174371719,js-divergence
89,1.0,0.9220316559076309,js-divergence
