round,fraction,dice_score,method
1,0.12,0.6629602015018463,kl-divergence
2,0.13,0.6670312359929085,kl-divergence
3,0.14,0.6656841859221458,kl-divergence
4,0.15,0.712104506790638,kl-divergence
5,0.16,0.7979366630315781,kl-divergence
6,0.17,0.818913608789444,kl-divergence
7,0.18,0.8334851413965225,kl-divergence
8,0.19,0.8426164537668228,kl-divergence
9,0.2,0.8561767190694809,kl-divergence
10,0.21,0.8313105702400208,kl-divergence
11,0.22,0.8489630222320557,kl-divergence
12,0.23,0.8516401201486588,kl-divergence
13,0.24,0.8392128050327301,kl-divergence
14,0.25,0.8642026335000992,kl-divergence
15,0.26,0.8413868248462677,kl-divergence
16,0.27,0.8631405681371689,kl-divergence
17,0.28,0.8605572432279587,kl-divergence
18,0.29,0.8776800334453583,kl-divergence
19,0.3,0.8741942048072815,kl-divergence
20,0.31,0.8771424442529678,kl-divergence
21,0.32,0.8897812813520432,kl-divergence
22,0.33,0.8924251943826675,kl-divergence
23,0.34,0.8891368955373764,kl-divergence
24,0.35,0.8904182761907578,kl-divergence
25,0.36,0.8906435966491699,kl-divergence
26,0.37,0.8972102552652359,kl-divergence
27,0.38,0.8926030397415161,kl-divergence
28,0.39,0.8992337882518768,kl-divergence
29,0.4,0.906564250588417,kl-divergence
30,0.41,0.8972620964050293,kl-divergence
31,0.42,0.907294750213623,kl-divergence
32,0.43,0.9010647535324097,kl-divergence
33,0.44,0.8966886699199677,kl-divergence
34,0.45,0.8998460471630096,kl-divergence
35,0.46,0.9032214283943176,kl-divergence
36,0.47,0.907410740852356,kl-divergence
37,0.48,0.9080759733915329,kl-divergence
38,0.49,0.9019750356674194,kl-divergence
39,0.5,0.8976272344589233,kl-divergence
40,0.51,0.9074424803256989,kl-divergence
41,0.52,0.9067379087209702,kl-divergence
42,0.53,0.9130305200815201,kl-divergence
43,0.54,0.9100599139928818,kl-divergence
44,0.55,0.9148852676153183,kl-divergence
45,0.56,0.9132871031761169,kl-divergence
46,0.57,0.9023959636688232,kl-divergence
47,0.58,0.9122090935707092,kl-divergence
48,0.59,0.9171251505613327,kl-divergence
49,0.6,0.9104907065629959,kl-divergence
50,0.61,0.9161185771226883,kl-divergence
51,0.62,0.9151197373867035,kl-divergence
52,0.63,0.9147271662950516,kl-divergence
53,0.64,0.9138169139623642,kl-divergence
54,0.65,0.916031002998352,kl-divergence
55,0.66,0.9224485158920288,kl-divergence
56,0.67,0.9166347682476044,kl-divergence
57,0.68,0.9161258488893509,kl-divergence
58,0.69,0.9189451932907104,kl-divergence
59,0.7,0.9144436419010162,kl-divergence
60,0.71,0.9153894037008286,kl-divergence
61,0.72,0.9160838425159454,kl-divergence
62,0.73,0.9180382043123245,kl-divergence
63,0.74,0.9172475188970566,kl-divergence
64,0.75,0.920713946223259,kl-divergence
65,0.76,0.9198820739984512,kl-divergence
66,0.77,0.9152243733406067,kl-divergence
67,0.78,0.9139345288276672,kl-divergence
68,0.79,0.9157811403274536,kl-divergence
69,0.8,0.913952648639679,kl-divergence
70,0.81,0.9192829728126526,kl-divergence
71,0.82,0.9200189709663391,kl-divergence
72,0.83,0.9142587333917618,kl-divergence
73,0.84,0.9164611846208572,kl-divergence
74,0.85,0.9163846075534821,kl-divergence
75,0.86,0.9163928478956223,kl-divergence
76,0.87,0.9174018800258636,kl-divergence
77,0.88,0.9164446741342545,kl-divergence
78,0.89,0.9204899966716766,kl-divergence
79,0.9,0.9227643758058548,kl-divergence
80,0.91,0.9181109964847565,kl-divergence
81,0.92,0.9143336415290833,kl-divergence
82,0.93,0.9195810854434967,kl-divergence
83,0.94,0.9227361381053925,kl-divergence
84,0.95,0.9232079237699509,kl-divergence
85,0.96,0.9188236594200134,kl-divergence
86,0.97,0.9228559881448746,kl-divergence
87,0.98,0.9215124398469925,kl-divergence
88,0.99,0.9181158393621445,kl-divergence
89,1.0,0.917255237698555,kl-divergence
