round,fraction,dice_score,method
1,0.12,0.6629602015018463,random
2,0.13,0.6710708886384964,random
3,0.14,0.6314373761415482,random
4,0.15,0.7547415494918823,random
5,0.16,0.762955829501152,random
6,0.17,0.7833026945590973,random
7,0.18,0.7911418080329895,random
8,0.19,0.8168380260467529,random
9,0.2,0.8248383104801178,random
10,0.21,0.7654307931661606,random
11,0.22,0.8182570785284042,random
12,0.23,0.820374920964241,random
13,0.24,0.8195396512746811,random
14,0.25,0.8311036229133606,random
15,0.26,0.8459866642951965,random
16,0.27,0.8318656384944916,random
17,0.28,0.8187624514102936,random
18,0.29,0.8425076305866241,random
19,0.3,0.8258492350578308,random
20,0.31,0.8502549380064011,random
21,0.32,0.8574672043323517,random
22,0.33,0.8549147099256516,random
23,0.34,0.8460151553153992,random
24,0.35,0.8651718944311142,random
25,0.36,0.8668347299098969,random
26,0.37,0.8623679876327515,random
27,0.38,0.8759772628545761,random
28,0.39,0.8703946322202682,random
29,0.4,0.8838612884283066,random
30,0.41,0.8780436217784882,random
31,0.42,0.8735295534133911,random
32,0.43,0.8924399167299271,random
33,0.44,0.8713822215795517,random
34,0.45,0.8946232497692108,random
35,0.46,0.8877146989107132,random
36,0.47,0.8920705616474152,random
37,0.48,0.8946032077074051,random
38,0.49,0.888466864824295,random
39,0.5,0.876808226108551,random
40,0.51,0.8960874974727631,random
41,0.52,0.8922803550958633,random
42,0.53,0.894785463809967,random
43,0.54,0.8931820094585419,random
44,0.55,0.8709430545568466,random
45,0.56,0.8981160372495651,random
46,0.57,0.9033876657485962,random
47,0.58,0.8978867679834366,random
48,0.59,0.8941626250743866,random
49,0.6,0.8990436643362045,random
50,0.61,0.9031232297420502,random
51,0.62,0.9096075743436813,random
52,0.63,0.9063457250595093,random
53,0.64,0.910618782043457,random
54,0.65,0.8883774876594543,random
55,0.66,0.9002387523651123,random
56,0.67,0.8991623520851135,random
57,0.68,0.8915216028690338,random
58,0.69,0.8962288796901703,random
59,0.7,0.9088306427001953,random
60,0.71,0.9085444062948227,random
61,0.72,0.9117992967367172,random
62,0.73,0.9112009406089783,random
63,0.74,0.9068042188882828,random
64,0.75,0.9083791822195053,random
65,0.76,0.8954527229070663,random
66,0.77,0.9005348086357117,random
67,0.78,0.9128010123968124,random
68,0.79,0.8966445773839951,random
69,0.8,0.9140997529029846,random
70,0.81,0.9117233157157898,random
71,0.82,0.906960979104042,random
72,0.83,0.9051141291856766,random
73,0.84,0.902887836098671,random
74,0.85,0.9080104231834412,random
75,0.86,0.9067882299423218,random
76,0.87,0.9020931422710419,random
77,0.88,0.9064334630966187,random
78,0.89,0.9090504795312881,random
79,0.9,0.9059271216392517,random
80,0.91,0.9119095206260681,random
81,0.92,0.9109228253364563,random
82,0.93,0.9127376228570938,random
83,0.94,0.9074433892965317,random
84,0.95,0.9166913032531738,random
85,0.96,0.9168103933334351,random
86,0.97,0.9145523458719254,random
87,0.98,0.9120247215032578,random
88,0.99,0.916686162352562,random
89,1.0,0.9159303307533264,random
